Issue Key,Issue Type,Summary,Description,Priority,Story Points,Assignee,Reporter,Sprint,Labels,Status,Depends On,Acceptance Criteria
BE-01,Task,Unificar política de autorização admin/observability,"Padronizar requisitos de permissão e regras de acesso entre rotas administrativas e rotas de observabilidade; remover inconsistências de guard e reduzir superfície de exposição.",Highest,8,team-audit,platform-engineering,Sprint 1,P0,Security;Authorization,Done,Operações de usuário sem permissão em /admin/* e /observability/* retornam erro de autorização homogêneo (403) com trilha auditável.
BE-02,Task,Corrigir autorização 500 por falha de permissão,"Garantir que tentativas de acesso negado usem HTTP 403 e não 500 em todas as rotas críticas do sistema.",Highest,5,team-audit,platform-engineering,Sprint 1,P0,Security;Reliability,Done,Suite de contratos de autorização executa sem 500 para cenários de permissão insuficiente; retorno padrão 403 em `detail.error=forbidden`.
BE-03,Task,Estabilizar /queries/logs sob suíte completa,"Eliminar comportamento não determinístico em GET /queries/logs (401 intermitente), incluindo limpeza de estado/sessão e isolamento entre testes.",Highest,8,team-audit,platform-engineering,Sprint 2,P0,Security;API,Done,Suite backend completa passa com `GET /queries/logs` sem falhas intermitentes e sem perda de sessão autenticada.
BE-04,Task,Fixar fluxo autenticado de upload no Playwright,"Corrigir upload via UI após login para manter usuário autenticado e exibir evidência correta do envio do documento.",Highest,8,team-audit,platform-engineering,Sprint 2,P0,UX;Frontend,Done,Playwright do fluxo principal de upload roda com sucesso (login + upload + evidência visual), sem redirecionamento indevido para login.
BE-05,Task,Reconciliar estado documental com score real,"Atualizar runtime state e log com o score reconciliado após evidência real (sem divergência entre nota declarada e nota executada).",High,3,team-pm,platform-engineering,Sprint 3,P1,Governance;Docs,Done,docs/99_runtime_state.md e docs/20_master_execution_log.md refletindo score atual em linha com `assessed_score`.
BE-06,Task,Reforçar testes de contratos auth/observability,"Adicionar/ajustar testes de regressão para /admin/*, /observability/* e cenários de sessão/role cruzados.",High,8,team-audit,platform-engineering,Sprint 3,P1,Quality;Testing,Done,Suite de teste cobre cenários de acesso cruzado e permissão mínima necessária sem falso positivo.
BE-07,Task,Harden de CORS por ambiente,"Restringir política CORS para origens permitidas por ambiente e validar preflight em testes.",High,5,team-platform,platform-engineering,Sprint 4,P1,Security;Infra,Done,Ambiente local continua funcionando; produção usa origem controlada e testes de preflight passam.
BE-08,Task,Refatorar src/api/main.py por domínios,"Reduzir acoplamento de ponto único em main.py com rotas e dependências organizadas por módulos de domínio.",Medium,5,team-backend,platform-engineering,Sprint 5,P2,Refactor;Maintainability,Done,Arquivos centrais com redução de responsabilidade e impacto funcional neutro nos endpoints existentes.
BE-09,Task,Endurecer store de sessão no frontend,"Evoluir armazenamento de sessão para reduzir dependência de token em storage, mantendo compatibilidade com fluxo de login atual.",Medium,8,team-frontend,platform-engineering,Sprint 5,P2,Security;Frontend,Done,Sessão principal passa a usar cookie HttpOnly por padrão e fallback documentado para compatibilidade.
BE-10,Task,Higienizar inventário do corpus e retenção operacional,"Reduzir ruído entre corpus canônico e uploads operacionais para melhorar auditoria e operação.",Medium,3,team-ops,platform-engineering,Sprint 5,P2,Ops;Data,Done,Plano de retenção/documentação e rotina de validação do workspace executam sem ruído operacional crítico.
